model_name,query_id,doc_id,latency_seconds,input_tokens,output_tokens,reasoning_tokens,inference_speed_tps,cost_dollars
gpt-5.5,c05e081b,astma_bij_volwassenen,9.8446,708,335,217,34.03,0.01359
gpt-5.5,78012662,astma_bij_volwassenen,10.4544,2935,379,231,36.25,0.02604
gpt-5.5,48e7cd51,astma_bij_volwassenen,14.3774,4380,597,516,41.52,0.03981
gpt-5.5,2fe356e8,astma_bij_volwassenen,16.3582,302,586,516,35.82,0.01909
gpt-5.5,4cbc2ebd,astma_bij_volwassenen,18.7696,2382,687,516,36.6,0.03252
gpt-5.5,fbf79128,astma_bij_volwassenen,3.9159,578,145,85,37.03,0.00724
gpt-5.5,b2e7594b,astma_bij_volwassenen,7.899,1160,346,245,43.8,0.01618
gpt-5.5,d1b6ab17,astma_bij_volwassenen,18.3737,1085,801,516,43.6,0.02945
gpt-5.5,c753ba13,astma_bij_volwassenen,19.5893,3160,898,516,45.84,0.04274
gpt-5.5,fd9d1d3e,astma_bij_volwassenen,16.3914,2694,744,516,45.39,0.03579
gpt-5.5,d5728205,astma_bij_volwassenen,17.4938,3105,671,497,38.36,0.03565
gpt-5.5,d5b40cf3,astma_bij_volwassenen,21.9202,655,765,516,34.9,0.02623
gpt-5.5,31cbcbb3,astma_bij_volwassenen,9.6825,1054,409,317,42.24,0.01754
gpt-5.5,d45870d3,astma_bij_volwassenen,17.2508,678,649,502,37.62,0.02286
gpt-5.5,eb5ee053,astma_bij_volwassenen,19.6645,509,650,357,33.05,0.02204
gpt-5.5,8099cb48,astma_bij_volwassenen,25.1573,312,1216,1034,48.34,0.03804
gpt-5.5,11916502,astma_bij_volwassenen,13.9108,1932,642,516,46.15,0.02892
gpt-5.5,7f6a8e16,astma_bij_volwassenen,27.5989,2886,1236,1034,44.78,0.05151
gpt-5.5,92a56077,astma_bij_volwassenen,43.1226,2360,1996,1552,46.29,0.07168
gpt-5.5,dd9cbc5c,astma_bij_volwassenen,34.0226,1712,626,515,18.4,0.02734
gpt-5.5,eb91f618,astma_bij_volwassenen,14.2268,557,511,396,35.92,0.01811
gpt-5.5,eb7f73d1,astma_bij_volwassenen,15.2548,56,539,473,35.33,0.01645
gpt-5.5,11d04754,astma_bij_volwassenen,15.3812,1623,579,464,37.64,0.02549
gpt-5.5,7d1a6b07,astma_bij_volwassenen,19.0164,431,664,516,34.92,0.02208
gpt-5.5,2df177a8,astma_bij_volwassenen,8.4257,503,323,199,38.34,0.01221
gpt-5.5,c144cce7,astma_bij_volwassenen,19.9674,568,548,304,27.44,0.01928
gpt-5.5,ae0f75b7,astma_bij_volwassenen,15.2616,1633,442,296,28.96,0.02142
gpt-5.5,e8466ecc,astma_bij_volwassenen,13.7815,1142,638,429,46.29,0.02485
gpt-5.5,eae4206a,astma_bij_volwassenen,20.8924,804,672,516,32.16,0.02418
gpt-5.5,bc2dc8a4,astma_bij_volwassenen,23.4319,1439,815,516,34.78,0.03164
gpt-5.5,9b3c0e6b,astma_bij_volwassenen,6.0591,1873,217,136,35.81,0.01588
gpt-5.5,632e9c57,astma_bij_volwassenen,8.1878,399,275,151,33.59,0.01025
gpt-5.5,4da534ba,astma_bij_volwassenen,16.6263,1534,655,516,39.4,0.02732
gpt-5.5,0bd5271f,astma_bij_volwassenen,4.7183,2453,185,113,39.21,0.01782
gpt-5.5,e50fb7a5,astma_bij_volwassenen,8.0315,1536,371,301,46.19,0.01881
gpt-5.5,b2ff6f13,astma_bij_volwassenen,10.8176,1158,407,319,37.62,0.018
gpt-5.5,58dc4284,astma_bij_volwassenen,15.713,366,666,516,42.39,0.02181
gpt-5.5,930c1e07,astma_bij_volwassenen,43.4212,90,1712,1552,39.43,0.05181
gpt-5.5,b068643b,astma_bij_volwassenen,37.543,68,1273,1034,33.91,0.03853
gpt-5.5,30828961,astma_bij_volwassenen,52.9759,2188,1778,1552,33.56,0.06428
gpt-5.4,d45870d3,astma_bij_volwassenen,9.0813,678,576,393,63.43,0.01034
gpt-5.4,b2e7594b,astma_bij_volwassenen,11.1796,1160,597,476,53.4,0.01185
gpt-5.4,fd9d1d3e,astma_bij_volwassenen,11.9259,2694,684,516,57.35,0.01699
gpt-5.4,78012662,astma_bij_volwassenen,12.4127,2935,749,516,60.34,0.01857
gpt-5.4,d5728205,astma_bij_volwassenen,12.1041,3105,755,516,62.38,0.01909
gpt-5.4,31cbcbb3,astma_bij_volwassenen,8.306,1054,557,476,67.06,0.01099
gpt-5.4,eb5ee053,astma_bij_volwassenen,18.1557,509,844,516,46.49,0.01393
gpt-5.4,eb7f73d1,astma_bij_volwassenen,9.7037,56,575,516,59.26,0.00877
gpt-5.4,8099cb48,astma_bij_volwassenen,50.4555,312,2935,2767,58.17,0.04481
gpt-5.4,bc2dc8a4,astma_bij_volwassenen,51.365,1439,2889,2588,56.24,0.04693
gpt-5.4,c753ba13,astma_bij_volwassenen,68.7099,3160,4361,3839,63.47,0.07332
gpt-5.4,d5b40cf3,astma_bij_volwassenen,61.6699,655,3905,3624,63.32,0.06021
gpt-5.4,dd9cbc5c,astma_bij_volwassenen,10.4694,1712,571,436,54.54,0.01284
gpt-5.4,fbf79128,astma_bij_volwassenen,6.0926,578,410,348,67.3,0.0076
gpt-5.4,2fe356e8,astma_bij_volwassenen,9.5945,302,589,516,61.39,0.00959
gpt-5.4,eb91f618,astma_bij_volwassenen,8.0317,557,509,345,63.37,0.00903
gpt-5.4,11916502,astma_bij_volwassenen,10.0385,1932,573,472,57.08,0.01342
gpt-5.4,7d1a6b07,astma_bij_volwassenen,13.0949,431,649,481,49.56,0.01081
gpt-5.4,58dc4284,astma_bij_volwassenen,13.4751,366,722,516,53.58,0.01174
gpt-5.4,11d04754,astma_bij_volwassenen,12.2137,1623,669,516,54.77,0.01409
gpt-5.4,ae0f75b7,astma_bij_volwassenen,7.9534,1633,471,257,59.22,0.01115
gpt-5.4,2df177a8,astma_bij_volwassenen,9.0914,503,317,193,34.87,0.00601
gpt-5.4,c144cce7,astma_bij_volwassenen,11.9885,568,724,516,60.39,0.01228
gpt-5.4,0bd5271f,astma_bij_volwassenen,8.4318,2453,490,381,58.11,0.01348
