model_name,query_id,doc_id,latency_seconds,input_tokens,output_tokens,reasoning_tokens,inference_speed_tps,cost_dollars
gpt-5.5,6c1c2da4,hand-en-polsklachten,19.564,68,149,94,7.62,0.00481
gpt-5.5,dd9cbc5c,astma_bij_volwassenen,20.762,1712,597,491,28.75,0.02647
gpt-5.5,3bda86f2,depressie,24.1429,65,702,516,29.08,0.02138
gpt-5.5,64c6fac5,COPD,26.769,69,830,516,31.01,0.02525
gpt-5.5,63560c3a,COPD,10.8126,1416,332,221,30.7,0.01704
gpt-5.5,63d4ebcb,hand-en-polsklachten,11.491,899,448,346,38.99,0.01793
gpt-5.5,67f73762,COPD,13.8229,1553,479,345,34.65,0.02214
gpt-5.5,5a34e230,hand-en-polsklachten,11.388,345,480,384,42.15,0.01613
gpt-5.5,20241acd,hartfalen,10.2743,924,396,302,38.54,0.01650
gpt-5.5,9ee9de9d,depressie,24.0688,1492,826,516,34.32,0.03224
gpt-5.5,877cc019,COPD,11.1079,1403,389,261,35.02,0.01869
gpt-5.5,098ffb4a,chronische nierschade,19.1632,7722,723,516,37.73,0.06030
gpt-5.5,4aa6a8ff,hartfalen,16.9148,939,651,494,38.49,0.02423
gpt-5.5,3d3ef213,depressie,67.5343,926,2318,2123,34.32,0.07417
gpt-5.5,74b1094c,hartfalen,16.2641,322,546,316,33.57,0.01799
gpt-5.5,e86593b1,chronische nierschade,18.3881,1071,679,516,36.93,0.02572
gpt-5.5,84e15b72,hartfalen,27.5728,958,853,516,30.94,0.03038
gpt-5.5,caff826d,chronische nierschade,38.5998,126,1265,1034,32.77,0.03858
gpt-5.5,950c5bfa,angst,16.9004,156,639,516,37.81,0.01995
gpt-5.5,0290f131,hartfalen,56.5407,219,1860,1550,32.9,0.05690
gpt-5.5,8df4ac15,hartfalen,17.3713,627,649,516,37.36,0.02261
gpt-5.5,7d1a6b07,astma_bij_volwassenen,19.1814,431,650,516,33.89,0.02166
gpt-5.5,55dfe898,angst,22.583,822,737,516,32.64,0.02622
gpt-5.5,632e9c57,astma_bij_volwassenen,8.5744,399,323,214,37.67,0.01169
gpt-5.5,ae0f75b7,astma_bij_volwassenen,26.8388,1633,656,516,24.44,0.02785
gpt-5.5,c24332e6,angst,28.0642,1100,951,516,33.89,0.03403
gpt-5.5,cd5af29b,angst,20.2515,799,619,362,30.57,0.02257
gpt-5.5,f4bdbd73,hand-en-polsklachten,12.4573,825,431,250,34.6,0.01706
gpt-5.5,c1898acd,angst,17.15,948,660,516,38.48,0.02454
gpt-5.5,0d769419,depressie,16.9066,1504,667,516,39.45,0.02753
gpt-5.5,875fe605,hand-en-polsklachten,16.8517,1039,702,516,41.66,0.02626
gpt-5.5,b5c1618d,diabetes,12.1391,1104,434,354,35.75,0.01854
gpt-5.5,fb99be4b,depressie,8.1173,990,277,161,34.12,0.01326
gpt-5.5,09710fd9,diabetes,14.3873,56,596,516,41.43,0.01816
gpt-5.5,026b8852,hand-en-polsklachten,18.0881,946,649,516,35.88,0.02420
gpt-5.5,40d6daea,depressie,20.8275,1526,767,516,36.83,0.03064
gpt-5.5,4deb365d,angst,69.9334,77,2206,2057,31.54,0.06656
gpt-5.5,b6b8d196,COPD,18.5841,63,610,516,32.82,0.01861
gpt-5.5,2d0aad1f,diabetes,28.4674,64,1159,1034,40.71,0.03509
gpt-5.5,e918e203,angst,19.7411,1576,723,516,36.62,0.02957
gpt-5.5,ae0001a8,depressie,32.3506,1454,1169,516,36.14,0.04234
gpt-5.5,b7f58cf2,depressie,16.4424,1059,666,516,40.5,0.02528
