model_name,query_id,doc_id,latency_seconds,input_tokens,output_tokens,reasoning_tokens,inference_speed_tps,cost_dollars
gpt-5.5,dd9cbc5c,astma_bij_volwassenen,20.762,1712,597,491,28.75,0.02647
gpt-5.5,3bda86f2,depressie,24.1429,65,702,516,29.08,0.02138
gpt-5.5,63560c3a,COPD,10.8126,1416,332,221,30.7,0.01704
gpt-5.5,63d4ebcb,hand-en-polsklachten,11.491,899,448,346,38.99,0.01793
gpt-5.5,67f73762,COPD,13.8229,1553,479,345,34.65,0.02214
gpt-5.5,20241acd,hartfalen,10.2743,924,396,302,38.54,0.01650
gpt-5.5,9ee9de9d,depressie,24.0688,1492,826,516,34.32,0.03224
gpt-5.5,877cc019,COPD,11.1079,1403,389,261,35.02,0.01869
gpt-5.5,098ffb4a,chronische nierschade,19.1632,7722,723,516,37.73,0.06030
gpt-5.5,4aa6a8ff,hartfalen,16.9148,939,651,494,38.49,0.02423
gpt-5.5,3d3ef213,depressie,67.5343,926,2318,2123,34.32,0.07417
gpt-5.5,84e15b72,hartfalen,27.5728,958,853,516,30.94,0.03038
gpt-5.5,caff826d,chronische nierschade,38.5998,126,1265,1034,32.77,0.03858
gpt-5.5,950c5bfa,angst,16.9004,156,639,516,37.81,0.01995
gpt-5.5,0290f131,hartfalen,56.5407,219,1860,1550,32.9,0.05690
gpt-5.5,55dfe898,angst,22.583,822,737,516,32.64,0.02622
gpt-5.5,632e9c57,astma_bij_volwassenen,8.5744,399,323,214,37.67,0.01169
gpt-5.5,ae0f75b7,astma_bij_volwassenen,26.8388,1633,656,516,24.44,0.02785
gpt-5.5,c24332e6,angst,28.0642,1100,951,516,33.89,0.03403
gpt-5.5,cd5af29b,angst,20.2515,799,619,362,30.57,0.02257
gpt-5.5,c1898acd,angst,17.15,948,660,516,38.48,0.02454
gpt-5.5,0d769419,depressie,16.9066,1504,667,516,39.45,0.02753
gpt-5.5,875fe605,hand-en-polsklachten,16.8517,1039,702,516,41.66,0.02626
gpt-5.5,b5c1618d,diabetes,12.1391,1104,434,354,35.75,0.01854
gpt-5.5,fb99be4b,depressie,8.1173,990,277,161,34.12,0.01326
gpt-5.5,09710fd9,diabetes,14.3873,56,596,516,41.43,0.01816
gpt-5.5,40d6daea,depressie,20.8275,1526,767,516,36.83,0.03064
gpt-5.5,b6b8d196,COPD,18.5841,63,610,516,32.82,0.01861
gpt-5.5,2d0aad1f,diabetes,28.4674,64,1159,1034,40.71,0.03509
gpt-5.5,ae0001a8,depressie,32.3506,1454,1169,516,36.14,0.04234
gpt-5.5,b7f58cf2,depressie,16.4424,1059,666,516,40.5,0.02528
gpt-5.5,1ec7c876,depressie,5.1482,176,189,134,36.71,0.00655
gpt-5.5,773a6531,diabetes,26.0304,719,780,516,29.96,0.02700
gpt-5.5,eb7fa484,dementie,18.4815,743,576,410,31.17,0.02099
gpt-5.5,cb347263,diabetes,11.7904,2803,573,473,48.6,0.03121
gpt-5.5,a4905a6b,dementie,8.8458,722,299,222,33.8,0.01258
gpt-5.5,b95b62f2,diabetes,25.0759,974,789,516,31.46,0.02854
gpt-5.5,accae3ba,angst,20.129,1690,696,516,34.58,0.02933
gpt-5.5,25bd56b9,chronische nierschade,18.4122,361,552,398,29.98,0.01836
gpt-5.5,23ce0f59,angst,76.5696,2061,2308,2070,30.14,0.07954
gpt-5.5,3cbf9ccb,chronische nierschade,6.024,2971,216,129,35.86,0.02133
gpt-5.5,e33b6173,angst,11.2303,974,391,226,34.82,0.01660
gpt-5.5,9ba97f38,hartfalen,5.9463,1597,232,146,39.02,0.01494
gpt-5.5,4def0aac,dementie,15.519,268,513,403,33.06,0.01673
gpt-5.5,8fe309c8,COPD,134.3261,75,5249,5170,39.08,0.15784
gpt-5.5,7a55ed27,hartfalen,13.4289,1142,449,350,33.44,0.01918
gpt-5.5,947e7f2e,chronische nierschade,16.6198,1132,678,516,40.79,0.02600
gpt-5.5,1175e7f2,angst,58.5753,2070,2378,2047,40.6,0.08169
gpt-5.5,b2e7594b,astma_bij_volwassenen,10.2731,1160,420,325,40.88,0.01840
gpt-5.5,3e81d5a9,hartfalen,21.3549,1363,686,516,32.12,0.02740
gpt-5.5,8b5e4588,COPD,18.3256,2358,682,516,37.22,0.03225
gpt-5.5,26c7ce23,COPD,23.8638,1416,819,516,34.32,0.03165
gpt-5.5,e6a0e1c7,angst,17.4132,1994,681,516,39.11,0.03040
gpt-5.5,ac94c9ae,COPD,23.0566,984,807,516,35.0,0.02913
gpt-5.5,4913279e,angst,20.3968,670,769,516,37.7,0.02642
gpt-5.5,617418c5,angst,18.0615,2377,644,516,35.66,0.03121
gpt-5.5,f70574bf,influenza,10.5979,1023,407,314,38.4,0.01733
gpt-5.5,78c1b535,hand-en-polsklachten,6.3285,2391,224,184,35.4,0.01868
gpt-5.5,239e8d46,influenza,8.0246,660,307,224,38.26,0.01251
gpt-5.5,65aa0fc8,hand-en-polsklachten,20.2768,480,744,516,36.69,0.02472
gpt-5.5,7872d4af,influenza,4.7715,114,167,125,35.0,0.00558
gpt-5.5,7414baae,hand-en-polsklachten,5.8327,3880,242,190,41.49,0.02666
gpt-5.5,13ac3823,depressie,11.2583,1572,420,318,37.31,0.02046
gpt-5.5,b6853644,hand-en-polsklachten,17.1177,594,505,384,29.5,0.01812
